"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Chile","CHL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.2","3.2","3.2","3.1","3.1","3.1","3.4","3.6","3.6","3.4","3.2","3.1","3.1","3","3.1","3","3","3.4","","",
"China","CHN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","9.5","8.8","8","7.1","6.1","5","4","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Cote d'Ivoire","CIV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","21.3","21.2","20.6","20.2","20.2","21.1","22.1","22.3","22.3","21.7","21.9","20.4","18.6","16.5","15.5","15","14.9","14.9","","",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","20.7","19.3","17.6","15.9","14.1","12.6","11.2","9.1","7.6","6.2","5.8","5.6","5.5","5.4","5.5","5.6","5.6","5.3","","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2","38.2","38.2","38.3","38.4","38.5","38.6","38.7","38.7","38.8","40","41.5","41.5","40.7","40.1","39.9","40.2","40.4","41.7","","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26.4","26.4","31.7","34","36.6","35.4","35.5","35.5","36.5","36","33","30.9","31.1","34.1","34.6","36","36.8","37.7","","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","9.1","9.8","10.6","11.2","11.4","11","11.3","12.2","13.1","12.1","10.1","8.1","7.1","6.5","6.8","7.1","7.9","8.8","","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","14.4","13.1","11.3","11","11.4","12.3","13.1","15","15.8","16.3","16","16","16.4","16.8","17","16.7","16.2","15.4","","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","5","5.2","5","4.4","3.9","3.8","3.9","4","3.8","3.8","3.8","4.1","4.3","4.1","3.6","3.1","3","3.1","","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15621695286025","7.96216073417964","8.11623663370747","8.17644095364358","8.19606158272397","8.07816536524849","8.2971681795691","8.5138134027439","8.67446228750892","8.5519938002518","8.40035707831499","8.29351196921395","8.13893319542056","7.9279957402955","8.0303111643517","7.86024600690749","7.59015629549931","6.99251473878983","6.95546275199451","","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
